id,level,module,message,created_at
1036,INFO,Snapshot,binance: 580 snapshots salvos em 2026-02-25T21:14:00.790821+00:00 (coluna=annualized_rate),2026-02-25 21:14:00.888126+00:00
1037,INFO,Snapshot,bybit: 476 snapshots salvos em 2026-02-25T21:14:00.790821+00:00 (coluna=annualized_rate),2026-02-25 21:14:01.373351+00:00
1038,INFO,Snapshot,binance: 580 snapshots salvos em 2026-02-25T21:29:01.371040+00:00 (coluna=annualized_rate),2026-02-25 21:29:01.455726+00:00
1039,INFO,Snapshot,bybit: 476 snapshots salvos em 2026-02-25T21:29:01.371040+00:00 (coluna=annualized_rate),2026-02-25 21:29:02.564300+00:00
1040,INFO,Snapshot,binance: 580 snapshots salvos em 2026-02-25T21:44:02.564915+00:00 (coluna=annualized_rate),2026-02-25 21:44:02.662735+00:00
1041,INFO,Snapshot,bybit: 476 snapshots salvos em 2026-02-25T21:44:02.564915+00:00 (coluna=annualized_rate),2026-02-25 21:44:03.176489+00:00
1042,INFO,Snapshot,binance: 580 snapshots salvos em 2026-02-25T21:59:03.173517+00:00 (coluna=annualized_rate),2026-02-25 21:59:03.325889+00:00
1043,INFO,Snapshot,bybit: 476 snapshots salvos em 2026-02-25T21:59:03.173517+00:00 (coluna=annualized_rate),2026-02-25 21:59:04.146322+00:00
1044,INFO,Snapshot,binance: 580 snapshots salvos em 2026-02-25T22:14:04.145611+00:00 (coluna=annualized_rate),2026-02-25 22:14:04.238221+00:00
1045,INFO,Snapshot,bybit: 476 snapshots salvos em 2026-02-25T22:14:04.145611+00:00 (coluna=annualized_rate),2026-02-25 22:14:04.717619+00:00
1046,INFO,Snapshot,binance: 580 snapshots salvos em 2026-02-25T22:29:04.716545+00:00 (coluna=annualized_rate),2026-02-25 22:29:04.819962+00:00
1047,INFO,Snapshot,bybit: 476 snapshots salvos em 2026-02-25T22:29:04.716545+00:00 (coluna=annualized_rate),2026-02-25 22:29:06.757143+00:00
1048,INFO,RealTrading,Retomada sessão 43 (Score) com 3 posições abertas,2026-02-25 22:36:45.776558+00:00
1051,INFO,RealTrading,↳ Monitoramento retomado: SKRUSDT (SHORT) | sem TP limit,2026-02-25 22:36:45.776648+00:00
1049,INFO,RealTrading,Retomada sessão 44 (CONSERVADORA2) com 0 posições abertas,2026-02-25 22:36:45.776820+00:00
1050,INFO,RealTrading,↳ Monitoramento retomado: STEEMUSDT (SHORT) | sem TP limit,2026-02-25 22:36:45.784384+00:00
1052,INFO,RealTrading,↳ Monitoramento retomado: ESPUSDT (SHORT) | sem TP limit,2026-02-25 22:36:45.793785+00:00
1053,INFO,RealTrading,Retomada sessão 45 (Bot Binance 17:13) com 0 posições abertas,2026-02-25 22:36:45.877875+00:00
1054,INFO,Server,Servidor iniciado com sucesso,2026-02-25 22:36:45.901073+00:00
1055,INFO,WS Market,Conectado ao stream de mark prices Binance Futures,2026-02-25 22:36:46.749364+00:00
1056,INFO,Snapshot,binance: 580 snapshots salvos em 2026-02-25T22:36:45.881143+00:00 (coluna=annualized_rate),2026-02-25 22:36:46.793840+00:00
1057,INFO,Snapshot,bybit: 476 snapshots salvos em 2026-02-25T22:36:45.881143+00:00 (coluna=annualized_rate),2026-02-25 22:36:47.572720+00:00
1058,INFO,RealTrading,↳ Monitoramento retomado: SKRUSDT (SHORT) | sem TP limit,2026-02-25 22:40:20.708514+00:00
1061,INFO,RealTrading,↳ Monitoramento retomado: ESPUSDT (SHORT) | sem TP limit,2026-02-25 22:40:20.709491+00:00
1060,INFO,RealTrading,↳ Monitoramento retomado: STEEMUSDT (SHORT) | sem TP limit,2026-02-25 22:40:20.710496+00:00
1059,INFO,RealTrading,Retomada sessão 43 (Score) com 3 posições abertas,2026-02-25 22:40:20.710501+00:00
1062,INFO,RealTrading,Retomada sessão 44 (CONSERVADORA2) com 0 posições abertas,2026-02-25 22:40:20.754573+00:00
1063,INFO,RealTrading,Retomada sessão 45 (Bot Binance 17:13) com 0 posições abertas,2026-02-25 22:40:20.811206+00:00
1064,INFO,Server,Servidor iniciado com sucesso,2026-02-25 22:40:20.841008+00:00
1065,INFO,WS Market,Conectado ao stream de mark prices Binance Futures,2026-02-25 22:40:21.785431+00:00
1066,INFO,Snapshot,binance: 580 snapshots salvos em 2026-02-25T22:40:20.826232+00:00 (coluna=annualized_rate),2026-02-25 22:40:21.981159+00:00
1067,INFO,Snapshot,bybit: 476 snapshots salvos em 2026-02-25T22:40:20.826232+00:00 (coluna=annualized_rate),2026-02-25 22:40:22.433051+00:00
1068,INFO,Snapshot,binance: 580 snapshots salvos em 2026-02-25T22:55:22.430114+00:00 (coluna=annualized_rate),2026-02-25 22:55:22.493533+00:00
1069,INFO,Snapshot,bybit: 476 snapshots salvos em 2026-02-25T22:55:22.430114+00:00 (coluna=annualized_rate),2026-02-25 22:55:23.924362+00:00
1070,INFO,RealTrading,↳ Monitoramento retomado: STEEMUSDT (SHORT) | sem TP limit,2026-02-25 22:55:49.368514+00:00
1071,INFO,RealTrading,↳ Monitoramento retomado: ESPUSDT (SHORT) | sem TP limit,2026-02-25 22:55:49.386300+00:00
1072,INFO,RealTrading,Retomada sessão 43 (Score) com 3 posições abertas,2026-02-25 22:55:49.391532+00:00
1074,INFO,RealTrading,↳ Monitoramento retomado: SKRUSDT (SHORT) | sem TP limit,2026-02-25 22:55:49.394223+00:00
1073,INFO,RealTrading,Retomada sessão 44 (CONSERVADORA2) com 0 posições abertas,2026-02-25 22:55:49.395541+00:00
1075,INFO,RealTrading,Retomada sessão 45 (Bot Binance 17:13) com 0 posições abertas,2026-02-25 22:55:49.462752+00:00
1076,INFO,Server,Servidor iniciado com sucesso,2026-02-25 22:55:49.511858+00:00
1077,INFO,WS Market,Conectado ao stream de mark prices Binance Futures,2026-02-25 22:55:50.385649+00:00
1078,INFO,Snapshot,binance: 580 snapshots salvos em 2026-02-25T22:55:49.493663+00:00 (coluna=annualized_rate),2026-02-25 22:55:50.447089+00:00
1079,INFO,Snapshot,bybit: 476 snapshots salvos em 2026-02-25T22:55:49.493663+00:00 (coluna=annualized_rate),2026-02-25 22:55:50.884196+00:00
1080,INFO,CounterTrend,Abrindo SHORT 51.0 POWERUSDT (POWER/USDT:USDT) | funding anterior: -0.002701,2026-02-25 23:00:03.818688+00:00
1081,INFO,Order,Maker limit sell 51.0 POWER/USDT:USDT @ 0.91243 — aguardando preenchimento...,2026-02-25 23:00:04.477141+00:00
1082,INFO,Order,"Maker não preenchida em 3s, usando market (taker).",2026-02-25 23:00:08.935168+00:00
1083,INFO,Webhook,OPEN enviado p/ https://bot.vorxia.pro/webhook/fundtrader. Status: 200,2026-02-25 23:00:11.662613+00:00
1084,INFO,Snapshot,binance: 580 snapshots salvos em 2026-02-25T23:10:50.883040+00:00 (coluna=annualized_rate),2026-02-25 23:10:50.949519+00:00
1085,INFO,Snapshot,bybit: 476 snapshots salvos em 2026-02-25T23:10:50.883040+00:00 (coluna=annualized_rate),2026-02-25 23:10:51.386743+00:00
1086,INFO,RealTrading,Retomada sessão 44 (CONSERVADORA2) com 0 posições abertas,2026-02-25 23:23:06.911483+00:00
1088,INFO,RealTrading,↳ Monitoramento retomado: STEEMUSDT (SHORT) | sem TP limit,2026-02-25 23:23:07.063197+00:00
1087,INFO,RealTrading,↳ Monitoramento retomado: POWERUSDT (SHORT) | sem TP limit,2026-02-25 23:23:07.063318+00:00
1089,INFO,RealTrading,↳ Monitoramento retomado: SKRUSDT (SHORT) | sem TP limit,2026-02-25 23:23:07.067242+00:00
1090,INFO,RealTrading,Retomada sessão 43 (Score) com 4 posições abertas,2026-02-25 23:23:07.067699+00:00
1091,INFO,RealTrading,↳ Monitoramento retomado: ESPUSDT (SHORT) | sem TP limit,2026-02-25 23:23:07.075218+00:00
1092,INFO,RealTrading,Retomada sessão 45 (Bot Binance 17:13) com 0 posições abertas,2026-02-25 23:23:07.088824+00:00
1093,INFO,Server,Servidor iniciado com sucesso,2026-02-25 23:23:07.165129+00:00
1094,INFO,Snapshot,binance: 580 snapshots salvos em 2026-02-25T23:23:07.152918+00:00 (coluna=annualized_rate),2026-02-25 23:23:08.017389+00:00
1095,INFO,WS Market,Conectado ao stream de mark prices Binance Futures,2026-02-25 23:23:08.038242+00:00
1096,INFO,Snapshot,bybit: 476 snapshots salvos em 2026-02-25T23:23:07.152918+00:00 (coluna=annualized_rate),2026-02-25 23:23:08.516960+00:00
1097,INFO,RealTrading,Retomada sessão 44 (CONSERVADORA2) com 0 posições abertas,2026-02-25 23:32:10.736171+00:00
1098,INFO,RealTrading,↳ Monitoramento retomado: POWERUSDT (SHORT) | sem TP limit,2026-02-25 23:32:10.738526+00:00
1100,INFO,RealTrading,Retomada sessão 43 (Score) com 4 posições abertas,2026-02-25 23:32:10.748063+00:00
1099,INFO,RealTrading,↳ Monitoramento retomado: SKRUSDT (SHORT) | sem TP limit,2026-02-25 23:32:10.748863+00:00
1101,INFO,RealTrading,↳ Monitoramento retomado: STEEMUSDT (SHORT) | sem TP limit,2026-02-25 23:32:10.749696+00:00
1102,INFO,RealTrading,↳ Monitoramento retomado: ESPUSDT (SHORT) | sem TP limit,2026-02-25 23:32:10.749769+00:00
1103,INFO,RealTrading,Retomada sessão 45 (Bot Binance 17:13) com 0 posições abertas,2026-02-25 23:32:10.753126+00:00
1104,INFO,Server,Servidor iniciado com sucesso,2026-02-25 23:32:10.819896+00:00
1105,INFO,WS Market,Conectado ao stream de mark prices Binance Futures,2026-02-25 23:32:11.808986+00:00
1106,INFO,Snapshot,binance: 580 snapshots salvos em 2026-02-25T23:32:10.807525+00:00 (coluna=annualized_rate),2026-02-25 23:32:11.841420+00:00
1107,INFO,Snapshot,bybit: 476 snapshots salvos em 2026-02-25T23:32:10.807525+00:00 (coluna=annualized_rate),2026-02-25 23:32:12.322712+00:00
1108,INFO,RealTrading,Trailing Stop disparado! POWERUSDT @ 0.901860 | pico=0.894860 subida=0.7822% >= 0.7%,2026-02-25 23:34:21.456539+00:00
1109,INFO,RealTrading,Fechando POWERUSDT (POWER/USDT:USDT) hedge=True fee=maker... motivo: trailing_stop,2026-02-25 23:34:23.933835+00:00
1110,INFO,Order,"Erro no maker order (binance {""code"":-5022,""msg"":""Due to the order could not be executed as maker, the Post Only order will be rejected. The order will not be recorded in the order history""}), usando market (taker).",2026-02-25 23:34:26.063023+00:00
1111,INFO,Webhook,CLOSED enviado p/ https://bot.vorxia.pro/webhook/fundtrader. Status: 200,2026-02-25 23:34:26.608884+00:00
1112,INFO,Reconcile,"Trade 154 atualizado: ['entry_price', 'exit_price', 'price_pnl', 'fee_cost', 'total_pnl', 'price_pnl_pct', 'total_pnl_pct', 'balance_after']",2026-02-25 23:34:33.254248+00:00
1113,INFO,RealTrading,↳ Monitoramento retomado: SKRUSDT (SHORT) | sem TP limit,2026-02-25 23:34:55.908494+00:00
1115,INFO,RealTrading,↳ Monitoramento retomado: STEEMUSDT (SHORT) | sem TP limit,2026-02-25 23:34:55.939113+00:00
1117,INFO,RealTrading,↳ Monitoramento retomado: ESPUSDT (SHORT) | sem TP limit,2026-02-25 23:34:55.939294+00:00
1114,INFO,RealTrading,Retomada sessão 43 (Score) com 3 posições abertas,2026-02-25 23:34:55.940511+00:00
1116,INFO,RealTrading,Retomada sessão 44 (CONSERVADORA2) com 0 posições abertas,2026-02-25 23:34:55.943837+00:00
1118,INFO,RealTrading,Retomada sessão 45 (Bot Binance 17:13) com 0 posições abertas,2026-02-25 23:34:56.018992+00:00
1119,INFO,Server,Servidor iniciado com sucesso,2026-02-25 23:34:56.046826+00:00
1120,INFO,Snapshot,binance: 580 snapshots salvos em 2026-02-25T23:34:56.030262+00:00 (coluna=annualized_rate),2026-02-25 23:34:56.801847+00:00
1121,INFO,WS Market,Conectado ao stream de mark prices Binance Futures,2026-02-25 23:34:56.942073+00:00
1122,INFO,Snapshot,bybit: 476 snapshots salvos em 2026-02-25T23:34:56.030262+00:00 (coluna=annualized_rate),2026-02-25 23:34:57.605986+00:00
1123,INFO,RealTrading,Retomada sessão 43 (Score) com 3 posições abertas,2026-02-25 23:38:27.541524+00:00
1125,INFO,RealTrading,Retomada sessão 44 (CONSERVADORA2) com 0 posições abertas,2026-02-25 23:38:27.552031+00:00
1127,INFO,RealTrading,↳ Monitoramento retomado: ESPUSDT (SHORT) | sem TP limit,2026-02-25 23:38:27.552556+00:00
1126,INFO,RealTrading,↳ Monitoramento retomado: SKRUSDT (SHORT) | sem TP limit,2026-02-25 23:38:27.554785+00:00
