id,config_id,log_level,event,symbol,direction,exchange,message,details,created_at
472,43,INFO,close_attempt,ESPUSDT,SHORT,binance,Fechando ESPUSDT @ ~0.1478 | motivo: trailing_stop,"{""size"": 214.0, ""fee_type"": ""maker"", ""hedge_mode"": true, ""close_reason"": ""trailing_stop"", ""current_price"": 0.14777, ""side_to_close"": ""buy""}",2026-02-26 01:53:37.599940+00:00
473,43,INFO,close_success,ESPUSDT,SHORT,binance,Posição fechada: ESPUSDT @ 0.1477,"{""order_id"": ""319735519"", ""exit_price"": 0.14766, ""close_reason"": ""trailing_stop""}",2026-02-26 01:53:44.570571+00:00
474,43,INFO,open_attempt,STEEMUSDT,SHORT,binance,Tentando abrir SHORT 416.0 STEEMUSDT @ ~0.06469,"{""side"": ""sell"", ""size"": 416.0, ""fee_type"": ""maker"", ""leverage"": 5, ""hedge_mode"": true, ""ccxt_symbol"": ""STEEM/USDT:USDT"", ""entry_price"": 0.06469, ""trigger_type"": ""auto"", ""position_value"": 26.9512, ""prev_funding_rate"": -0.00338277}",2026-02-26 02:00:04.080629+00:00
475,43,INFO,open_attempt,ESPUSDT,SHORT,binance,Tentando abrir SHORT 181.0 ESPUSDT @ ~0.14882,"{""side"": ""sell"", ""size"": 181.0, ""fee_type"": ""maker"", ""leverage"": 5, ""hedge_mode"": true, ""ccxt_symbol"": ""ESP/USDT:USDT"", ""entry_price"": 0.14882, ""trigger_type"": ""auto"", ""position_value"": 26.9512, ""prev_funding_rate"": -0.00173979}",2026-02-26 02:00:04.494770+00:00
476,43,INFO,open_success,STEEMUSDT,SHORT,binance,Posição aberta: SHORT 416.0 STEEMUSDT @ 0.06483,"{""size"": 416.0, ""order_id"": ""2147591697"", ""open_time"": ""25/02/2026 23:00:05"", ""actual_entry"": 0.06483, ""trigger_type"": ""auto"", ""position_value"": 26.9512}",2026-02-26 02:00:05.330813+00:00
477,43,INFO,open_attempt,POWERUSDT,SHORT,binance,Tentando abrir SHORT 29.0 POWERUSDT @ ~0.90274,"{""side"": ""sell"", ""size"": 29.0, ""fee_type"": ""maker"", ""leverage"": 5, ""hedge_mode"": true, ""ccxt_symbol"": ""POWER/USDT:USDT"", ""entry_price"": 0.90274, ""trigger_type"": ""auto"", ""position_value"": 26.9512, ""prev_funding_rate"": -0.00261242}",2026-02-26 02:00:08.004975+00:00
478,43,INFO,open_success,POWERUSDT,SHORT,binance,Posição aberta: SHORT 29.0 POWERUSDT @ 0.9000728,"{""size"": 29.0, ""order_id"": ""1069157020"", ""open_time"": ""25/02/2026 23:00:13"", ""actual_entry"": 0.9000728, ""trigger_type"": ""auto"", ""position_value"": 26.9512}",2026-02-26 02:00:13.701497+00:00
479,43,INFO,open_success,ESPUSDT,SHORT,binance,Posição aberta: SHORT 181.0 ESPUSDT @ 0.14871,"{""size"": 181.0, ""order_id"": ""319820695"", ""open_time"": ""25/02/2026 23:00:15"", ""actual_entry"": 0.14871, ""trigger_type"": ""auto"", ""position_value"": 26.9512}",2026-02-26 02:00:15.788194+00:00
480,43,INFO,trailing_armed,STEEMUSDT,SHORT,binance,Trailing armado em STEEMUSDT: variação de preço 1.6813% (gatilho 1.3000%) @ 0.063740,"{""entry_price"": 0.06483, ""current_price"": 0.06374, ""price_change_pct"": 1.6813203763689555, ""trailing_stop_pct"": 0.7, ""trailing_start_profit_pct"": 1.3}",2026-02-26 02:06:05.723795+00:00
481,43,INFO,trailing_armed,ESPUSDT,SHORT,binance,Trailing armado em ESPUSDT: variação de preço 2.0308% (gatilho 1.3000%) @ 0.145690,"{""entry_price"": 0.14871, ""current_price"": 0.14569, ""price_change_pct"": 2.030798197834727, ""trailing_stop_pct"": 0.7, ""trailing_start_profit_pct"": 1.3}",2026-02-26 02:07:51.913294+00:00
482,43,INFO,close_attempt,STEEMUSDT,SHORT,binance,Fechando STEEMUSDT @ ~0.0629 | motivo: trailing_stop,"{""size"": 416.0, ""fee_type"": ""maker"", ""hedge_mode"": true, ""close_reason"": ""trailing_stop"", ""current_price"": 0.0629, ""side_to_close"": ""buy""}",2026-02-26 02:08:34.080264+00:00
483,43,INFO,close_success,STEEMUSDT,SHORT,binance,Posição fechada: STEEMUSDT @ 0.0628,"{""order_id"": ""2147720748"", ""exit_price"": 0.06277, ""close_reason"": ""trailing_stop""}",2026-02-26 02:08:37.700056+00:00
484,43,INFO,close_attempt,ESPUSDT,SHORT,binance,Fechando ESPUSDT @ ~0.1467 | motivo: trailing_stop,"{""size"": 181.0, ""fee_type"": ""maker"", ""hedge_mode"": true, ""close_reason"": ""trailing_stop"", ""current_price"": 0.14671, ""side_to_close"": ""buy""}",2026-02-26 02:08:55.925649+00:00
485,43,INFO,close_success,ESPUSDT,SHORT,binance,Posição fechada: ESPUSDT @ 0.1465,"{""order_id"": ""319982990"", ""exit_price"": 0.14652, ""close_reason"": ""trailing_stop""}",2026-02-26 02:08:58.547939+00:00
486,43,INFO,trailing_armed,POWERUSDT,SHORT,binance,Trailing armado em POWERUSDT: variação de preço 1.4946% (gatilho 1.3000%) @ 0.886620,"{""entry_price"": 0.9000728, ""current_price"": 0.88662, ""price_change_pct"": 1.4946346562189239, ""trailing_stop_pct"": 0.7, ""trailing_start_profit_pct"": 1.3}",2026-02-26 02:15:21.687641+00:00
487,43,INFO,close_attempt,POWERUSDT,SHORT,binance,Fechando POWERUSDT @ ~0.8906 | motivo: trailing_stop,"{""size"": 29.0, ""fee_type"": ""maker"", ""hedge_mode"": true, ""close_reason"": ""trailing_stop"", ""current_price"": 0.89059, ""side_to_close"": ""buy""}",2026-02-26 02:16:08.310634+00:00
488,43,INFO,close_success,POWERUSDT,SHORT,binance,Posição fechada: POWERUSDT @ 0.8895,"{""order_id"": ""1069702201"", ""exit_price"": 0.88947, ""close_reason"": ""trailing_stop""}",2026-02-26 02:16:10.932373+00:00
489,43,INFO,open_attempt,ESPUSDT,SHORT,binance,Tentando abrir SHORT 197.0 ESPUSDT @ ~0.14388,"{""side"": ""sell"", ""size"": 197.0, ""fee_type"": ""maker"", ""leverage"": 5, ""hedge_mode"": true, ""ccxt_symbol"": ""ESP/USDT:USDT"", ""entry_price"": 0.14388, ""trigger_type"": ""auto"", ""position_value"": 28.3738, ""prev_funding_rate"": -0.00128875}",2026-02-26 03:00:04.101591+00:00
490,43,INFO,open_attempt,STEEMUSDT,SHORT,binance,Tentando abrir SHORT 448.0 STEEMUSDT @ ~0.06323,"{""side"": ""sell"", ""size"": 448.0, ""fee_type"": ""maker"", ""leverage"": 5, ""hedge_mode"": true, ""ccxt_symbol"": ""STEEM/USDT:USDT"", ""entry_price"": 0.06323, ""trigger_type"": ""auto"", ""position_value"": 28.3738, ""prev_funding_rate"": -0.0026196}",2026-02-26 03:00:04.103540+00:00
491,43,INFO,open_attempt,POWERUSDT,SHORT,binance,Tentando abrir SHORT 32.0 POWERUSDT @ ~0.87453,"{""side"": ""sell"", ""size"": 32.0, ""fee_type"": ""maker"", ""leverage"": 5, ""hedge_mode"": true, ""ccxt_symbol"": ""POWER/USDT:USDT"", ""entry_price"": 0.87453, ""trigger_type"": ""auto"", ""position_value"": 28.3738, ""prev_funding_rate"": -0.00241746}",2026-02-26 03:00:04.108627+00:00
492,43,INFO,open_attempt,AZTECUSDT,SHORT,binance,Tentando abrir SHORT 1075.0 AZTECUSDT @ ~0.02639,"{""side"": ""sell"", ""size"": 1075.0, ""fee_type"": ""maker"", ""leverage"": 5, ""hedge_mode"": true, ""ccxt_symbol"": ""AZTEC/USDT:USDT"", ""entry_price"": 0.02639, ""trigger_type"": ""auto"", ""position_value"": 28.3738, ""prev_funding_rate"": -0.00024629}",2026-02-26 03:00:04.322260+00:00
493,43,INFO,open_success,POWERUSDT,SHORT,binance,Posição aberta: SHORT 32.0 POWERUSDT @ 0.87453,"{""size"": 32.0, ""order_id"": ""1071048624"", ""open_time"": ""26/02/2026 00:00:09"", ""actual_entry"": 0.87453, ""trigger_type"": ""auto"", ""position_value"": 28.3738}",2026-02-26 03:00:09.233503+00:00
494,43,INFO,open_success,ESPUSDT,SHORT,binance,Posição aberta: SHORT 197.0 ESPUSDT @ 0.14364,"{""size"": 197.0, ""order_id"": ""321097298"", ""open_time"": ""26/02/2026 00:00:09"", ""actual_entry"": 0.14364, ""trigger_type"": ""auto"", ""position_value"": 28.3738}",2026-02-26 03:00:09.702053+00:00
495,43,INFO,open_success,AZTECUSDT,SHORT,binance,Posição aberta: SHORT 1075.0 AZTECUSDT @ 0.02637,"{""size"": 1075.0, ""order_id"": ""111340352"", ""open_time"": ""26/02/2026 00:00:09"", ""actual_entry"": 0.02637, ""trigger_type"": ""auto"", ""position_value"": 28.3738}",2026-02-26 03:00:09.915886+00:00
496,43,INFO,open_success,STEEMUSDT,SHORT,binance,Posição aberta: SHORT 448.0 STEEMUSDT @ 0.06292,"{""size"": 448.0, ""order_id"": ""2148240835"", ""open_time"": ""26/02/2026 00:00:09"", ""actual_entry"": 0.06292, ""trigger_type"": ""auto"", ""position_value"": 28.3738}",2026-02-26 03:00:09.947123+00:00
497,43,INFO,trailing_armed,SKRUSDT,SHORT,binance,Trailing armado em SKRUSDT: variação de preço 1.3467% (gatilho 1.3000%) @ 0.021633,"{""entry_price"": 0.0219283, ""current_price"": 0.021633, ""price_change_pct"": 1.3466616199158248, ""trailing_stop_pct"": 0.7, ""trailing_start_profit_pct"": 1.3}",2026-02-26 03:05:40.035736+00:00
498,43,INFO,break_even_activated,POWERUSDT,SHORT,binance,Break-Even ativado em POWERUSDT: lucro 4.7311% >= 0.5% | SL movido para entrada @ 0.874530,"{""entry_price"": 0.87453, ""price_pnl_pct"": 4.7311174294304115, ""break_even_at_pct"": 0.5}",2026-02-26 03:07:11.102553+00:00
